,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
,Open,High,Low,Close,Volume
Date,,,,,
04/08/2011,1260.22998046875,1260.22998046875,1199.5400390625,1200.0699462890625,4266530000
05/08/2011,1200.280029296875,1218.1099853515625,1168.0899658203125,1199.3800048828125,5454590000
08/08/2011,1198.47998046875,1198.47998046875,1119.280029296875,1119.4599609375,2615150000
09/08/2011,1120.22998046875,1172.8800048828125,1101.5400390625,1172.530029296875,2366660000
10/08/2011,1171.77001953125,1171.77001953125,1118.010009765625,1120.760009765625,5018070000
11/08/2011,1121.300048828125,1186.2900390625,1121.300048828125,1172.6400146484375,3685050000
12/08/2011,1172.8699951171875,1189.0400390625,1170.739990234375,1178.81005859375,5640380000
15/08/2011,1178.8599853515625,1204.489990234375,1178.8599853515625,1204.489990234375,4272850000
16/08/2011,1204.219970703125,1204.219970703125,1180.530029296875,1192.760009765625,5071600000
17/08/2011,1192.8900146484375,1208.469970703125,1184.3599853515625,1193.8900146484375,4388340000
18/08/2011,1189.6199951171875,1189.6199951171875,1131.030029296875,1140.6500244140625,3234810000
19/08/2011,1140.469970703125,1154.5400390625,1122.050048828125,1123.530029296875,5167560000
22/08/2011,1123.550048828125,1145.489990234375,1121.0899658203125,1123.8199462890625,5436260000
23/08/2011,1124.3599853515625,1162.3499755859375,1124.3599853515625,1162.3499755859375,5013170000
24/08/2011,1162.1600341796875,1178.56005859375,1156.300048828125,1177.5999755859375,5315310000
25/08/2011,1176.68994140625,1190.6800537109375,1155.469970703125,1159.27001953125,5748420000
26/08/2011,1158.8499755859375,1181.22998046875,1135.9100341796875,1176.800048828125,5035320000
29/08/2011,1177.9100341796875,1210.280029296875,1177.9100341796875,1210.0799560546875,4228070000
30/08/2011,1209.760009765625,1220.0999755859375,1195.77001953125,1212.9200439453125,4572570000
31/08/2011,1213.0,1230.7099609375,1209.3499755859375,1218.8900146484375,5267840000
01/09/2011,1219.1199951171875,1229.2900390625,1203.8499755859375,1204.4200439453125,4780410000
02/09/2011,1203.9000244140625,1203.9000244140625,1170.56005859375,1173.969970703125,4401740000
06/09/2011,1173.969970703125,1173.969970703125,1140.1300048828125,1165.239990234375,5103980000
